id,power_plant,code_cwape,operator,location,nominal_power,lat,lon,brand,type,state
Chevetogne,Chevetogne,180,ENERGIE 2030,Chevetogne,0.8,50.255055,5.159713,Enercon,E48,En fonction
Chimay,Chimay,3027,GREEN WIND,Baileux (1),2.5,50.043212,4.377039,GE,GE 2.5,En fonction
Chimay1,Chimay,3027,GREEN WIND,Baileux (1),2.5,50.042483,4.384173,GE,GE 2.5,En fonction
Chimay2,Chimay,3027,GREEN WIND,Baileux (1),2.5,50.047014,4.386506,GE,GE 2.5,En fonction
Chimay3,Chimay,3027,GREEN WIND,Baileux (1),2.5,50.047285,4.379707,GE,GE 2.5,En fonction
Chimay4,Chimay,3027,GREEN WIND,Baileux (2) bis,2.5,50.049596,4.373592,GE,GE 2.5,En fonction
Chimay5,Chimay,3027,GREEN WIND,Baileux (2) bis,2.5,50.045298,4.357089,GE,GE 2.5,En fonction
Chimay6,Chimay,3027,GREEN WIND,Baileux (2) bis,2.75,50.044355,4.36876,GE,GE 2.75,En fonction
Chimay7,Chimay,3027,GREEN WIND,Baileux (2) bis,2.75,50.04199,4.362129,GE,GE 2.75,En fonction
Chimay8,Chimay,3027,GREEN WIND,Baileux (2) bis,2.75,50.03914,4.369528,GE,GE 2.75,En fonction
Ciney - Pessoux,Ciney - Pessoux,8276,Solano Wind,Ciney - Pessoux,2.5,50.298356,5.176506,Nordex,N 100,En fonction
Ciney - Pessoux1,Ciney - Pessoux,8276,Solano Wind,Ciney - Pessoux,2.5,50.298281,5.18466,Nordex,N 100,En fonction
Ciney - Pessoux2,Ciney - Pessoux,8276,Solano Wind,Ciney - Pessoux,2.5,50.297561,5.191188,Nordex,N 100,En fonction
Ciney - Pessoux3,Ciney - Pessoux,8276,Solano Wind,Ciney - Pessoux,2.5,50.295264,5.176453,Nordex,N 100,En fonction
Ciney - Pessoux4,Ciney - Pessoux,8276,Solano Wind,Ciney - Pessoux,2.5,50.294865,5.182005,Nordex,N 100,En fonction
Ciney - Pessoux5,Ciney - Pessoux,8276,Solano Wind,Ciney - Pessoux,2.5,50.293653,5.188187,Nordex,N 100,En fonction
Ciney - Sovet,Ciney - Sovet,8013,EDF LUMINUS,Ciney- Sovet,3.375,50.289084,5.06036,Senvion,3.4M,En fonction
Ciney - Sovet1,Ciney - Sovet,8013,EDF LUMINUS,Ciney- Sovet,3.375,50.282312,5.065173,Senvion,3.4M,En fonction
Ciney - Sovet2,Ciney - Sovet,8013,EDF LUMINUS,Ciney- Sovet,3.375,50.28702,5.055082,Senvion,3.4M,En fonction
Ciney - Sovet3,Ciney - Sovet,8009,EDF LUMINUS,Ciney- Sovet,3.375,50.278982,5.053591,Senvion,3.4M,En fonction
Ciney - Sovet4,Ciney - Sovet,8009,EDF LUMINUS,Ciney- Sovet,3.375,50.284631,5.050206,Senvion,3.4M,En fonction
Ciney - Sovet5,Ciney - Sovet,8009,EDF LUMINUS,Ciney- Sovet,3.375,50.276598,5.046303,Senvion,3.4M,En fonction
Ciney - Sovet6,Ciney - Sovet,0,EDF LUMINUS,Ciney - Sovet 2,3.2,50.281679,5.058232,Senvion,MM114,En fonction
Ciney - Sovet7,Ciney - Sovet,0,EDF LUMINUS,Ciney - Sovet 3,2.2,50.27442,5.03742,Vestas,V100,En fonction
Couvin,Couvin,146,FLEXIRIS,Boussu-en-Fagne (1),2,50.038542,4.492036,Enercon,E82,En fonction
Dinant - Falmagne,Dinant - Falmagne,0,None,Falmagne - parc JADE CHAROUK,2.3,50.191861,4.879995,Enercon,E92,En fonction
Dinant - Falmagne1,Dinant - Falmagne,0,None,Falmagne - parc JADE CHAROUK,2.3,50.186037,4.877552,Enercon,E92,En fonction
Dinant - Falmagne2,Dinant - Falmagne,0,None,Falmagne - parc JADE CHAROUK,2.3,50.184219,4.888062,Enercon,E92,En fonction
Dinant - Falmagne3,Dinant - Falmagne,0,None,Falmagne - parc JADE CHAROUK,2.3,50.182128,4.877062,Enercon,E92,En fonction
Dinant - Yvoir,Dinant - Yvoir,163,EDF LUMINUS,Yvoir- Dinant,2,50.304573,4.974112,Enercon,E82,En fonction
Dinant - Yvoir1,Dinant - Yvoir,163,EDF LUMINUS,Yvoir- Dinant,2,50.298597,4.970049,Enercon,E82,En fonction
Dinant - Yvoir2,Dinant - Yvoir,163,EDF LUMINUS,Yvoir- Dinant,2,50.298231,4.983267,Enercon,E82,En fonction
Dinant - Yvoir3,Dinant - Yvoir,163,EDF LUMINUS,Yvoir- Dinant,2,50.295386,4.977293,Enercon,E82,En fonction
Dinant - Yvoir4,Dinant - Yvoir,163,EDF LUMINUS,Yvoir- Dinant,2,50.294255,4.990345,Enercon,E82,En fonction
Dinant - Yvoir5,Dinant - Yvoir,163,EDF LUMINUS,Yvoir- Dinant,2,50.294083,4.983887,Enercon,E82,En fonction
Dour - Quiévrain,Dour - Quiévrain,160,Enairgie du Hainaut,DOUR 1 (Elouge / Quiévrain),2,50.4037,3.728048,Enercon,E82,En fonction
Dour - Quiévrain1,Dour - Quiévrain,160,Enairgie du Hainaut,DOUR 1 (Elouge / Quiévrain),2,50.40303,3.71918,Enercon,E82,En fonction
Dour - Quiévrain10,Dour - Quiévrain,7905,Engie Electrabel,DOUR 2 (Elouge / Quiévrain),2,50.412683,3.733217,Enercon,E82,En fonction
Dour - Quiévrain11,Dour - Quiévrain,160,Enairgie du Hainaut,DOUR 3,2.3,50.399629,3.713839,Enercon,E82,En fonction
Dour - Quiévrain12,Dour - Quiévrain,7954,Les moulins du Haut Pays,DOUR 3,2.3,50.400174,3.721414,Enercon,E82,En fonction
Dour - Quiévrain13,Dour - Quiévrain,7954,Les moulins du Haut Pays,DOUR 3,2.3,50.400743,3.726667,Enercon,E82,En fonction
Dour - Quiévrain14,Dour - Quiévrain,0,Wind4Wallonia,DOUR - QUIEVRAIN extension Nord,2.35,50.415027,3.718256,Enercon,E92,En fonction
Dour - Quiévrain15,Dour - Quiévrain,9413,Enairgie du Hainaut,DOUR - QUIEVRAIN extension Nord,2.35,50.415923,3.72407,Enercon,E92,En fonction
Dour - Quiévrain16,Dour - Quiévrain,9413,Enairgie du Hainaut,DOUR - QUIEVRAIN extension Nord,2.35,50.417896,3.728067,Enercon,E92,En fonction
Dour - Quiévrain17,Dour - Quiévrain,0,Wind4Wallonia,DOUR - QUIEVRAIN extension Nord,2.35,50.414583,3.728844,Enercon,E92,En fonction
Dour - Quiévrain2,Dour - Quiévrain,160,Enairgie du Hainaut,DOUR 1 (Elouge / Quiévrain),2,50.403432,3.723578,Enercon,E82,En fonction
